ID,posemo,extraversion,obs
Jessie,5,2.333333333,39
Jessie,4,4,40
Jessie,7,1,41
Jessie,4,1.666666667,42
Jessie,4,2,43
Jessie,4,3,44
Jessie,6,3,45
Jessie,1,3.666666667,46
Jessie,5,4.666666667,47
Jessie,5,3.333333333,48
Jessie,4,3.333333333,49
Jessie,4,4,50
Jessie,5,5,51
Jessie,7,4.666666667,52
Jessie,7,3.333333333,53
Jessie,4,2,54
Jessie,4,2,55
Jessie,4,3,56
Jessie,4,3,57
Jessie,5,2.666666667,58
Jessie,7,4.333333333,59
Jessie,NA,NA,60
